,Time [s],Committed size,Free size,Used size
8,8.02,258,251,7
9,9.02,258,197,61
10,10.02,310,188,123
11,11.02,310,200,111
12,12.02,310,197,113
13,13.02,310,240,71
14,14.02,310,220,90
15,15.02,207,171,36
16,16.02,262,248,14
17,17.03,315,136,179
18,18.03,237,114,122
19,19.03,237,131,106
20,20.03,237,150,87
21,21.03,299,176,123
22,22.03,299,143,156
23,23.03,147,116,31
24,24.03,293,186,107
25,25.03,293,224,69
26,26.03,261,202,59
27,27.03,151,70,81
28,28.04,218,200,18
29,29.04,262,241,21
30,30.04,315,275,41
31,31.04,258,136,122
32,32.04,177,72,105
33,33.04,213,185,28
34,34.04,177,157,20
35,35.04,143,81,63
36,36.04,256,149,107
37,37.04,256,152,104
38,38.04,256,167,89
39,39.05,307,148,159
40,40.05,307,172,135
41,41.05,307,155,152
42,42.05,307,144,163
43,43.05,307,132,175
44,44.05,307,259,48
