,Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: maxDepth,Param: minDepth,Param: paramCount,Param: repeat,Param: stackDepth
36,noYield,avgt,1,5,589.665078,16.952523,ns/op,,,1.0,,5.0
37,noYield,avgt,1,5,603.676413,22.318754000000002,ns/op,,,1.0,,10.0
38,noYield,avgt,1,5,611.227466,1.9341009999999998,ns/op,,,1.0,,20.0
39,noYield,avgt,1,5,753.971902,375.028307,ns/op,,,1.0,,100.0
40,noYield,avgt,1,5,597.08728,7.140654,ns/op,,,2.0,,5.0
41,noYield,avgt,1,5,658.0031280000001,348.551398,ns/op,,,2.0,,10.0
42,noYield,avgt,1,5,681.480803,49.193124,ns/op,,,2.0,,20.0
43,noYield,avgt,1,5,1057.35225,8.616983,ns/op,,,2.0,,100.0
44,noYield,avgt,1,5,601.1466519999999,12.9851,ns/op,,,3.0,,5.0
45,noYield,avgt,1,5,640.139257,13.377108999999999,ns/op,,,3.0,,10.0
46,noYield,avgt,1,5,876.182235,395.45992,ns/op,,,3.0,,20.0
47,noYield,avgt,1,5,1564.0602880000001,515.924211,ns/op,,,3.0,,100.0
48,yield,avgt,1,5,785.864049,5.051881,ns/op,,,1.0,,5.0
49,yield,avgt,1,5,892.035064,45.71096,ns/op,,,1.0,,10.0
50,yield,avgt,1,5,1051.176136,8.27315,ns/op,,,1.0,,20.0
51,yield,avgt,1,5,2674.9735570000003,1007.2573769999999,ns/op,,,1.0,,100.0
52,yield,avgt,1,5,826.024238,366.83500699999996,ns/op,,,2.0,,5.0
53,yield,avgt,1,5,882.876014,9.974979,ns/op,,,2.0,,10.0
54,yield,avgt,1,5,1095.779587,448.545562,ns/op,,,2.0,,20.0
55,yield,avgt,1,5,2708.037834,1024.121293,ns/op,,,2.0,,100.0
56,yield,avgt,1,5,780.464514,12.862274000000001,ns/op,,,3.0,,5.0
57,yield,avgt,1,5,927.3665279999999,474.18637,ns/op,,,3.0,,10.0
58,yield,avgt,1,5,1089.406152,409.196746,ns/op,,,3.0,,20.0
59,yield,avgt,1,5,2761.775532,1021.307841,ns/op,,,3.0,,100.0
60,yieldAfterEachCall,avgt,1,5,1843.840356,8.359100999999999,ns/op,,,1.0,,5.0
61,yieldAfterEachCall,avgt,1,5,3606.6932420000003,36.769745,ns/op,,,1.0,,10.0
62,yieldAfterEachCall,avgt,1,5,7300.401306000001,83.296401,ns/op,,,1.0,,20.0
63,yieldAfterEachCall,avgt,1,5,37692.119248,340.151859,ns/op,,,1.0,,100.0
64,yieldAfterEachCall,avgt,1,5,1866.477237,24.648794,ns/op,,,2.0,,5.0
65,yieldAfterEachCall,avgt,1,5,3590.2697350000003,31.9195,ns/op,,,2.0,,10.0
66,yieldAfterEachCall,avgt,1,5,7266.580311,22.893871,ns/op,,,2.0,,20.0
67,yieldAfterEachCall,avgt,1,5,38870.727234,215.34254500000003,ns/op,,,2.0,,100.0
68,yieldAfterEachCall,avgt,1,5,1863.397327,35.822453,ns/op,,,3.0,,5.0
69,yieldAfterEachCall,avgt,1,5,3604.282353,14.962508999999999,ns/op,,,3.0,,10.0
70,yieldAfterEachCall,avgt,1,5,7425.285244,124.268277,ns/op,,,3.0,,20.0
71,yieldAfterEachCall,avgt,1,5,38190.902001999995,182.767694,ns/op,,,3.0,,100.0
72,yieldBeforeAndAfterEachCall,avgt,1,5,3495.1952479999995,50.153507,ns/op,,,1.0,,5.0
73,yieldBeforeAndAfterEachCall,avgt,1,5,6912.977978,148.904644,ns/op,,,1.0,,10.0
74,yieldBeforeAndAfterEachCall,avgt,1,5,13866.3763,133.360499,ns/op,,,1.0,,20.0
75,yieldBeforeAndAfterEachCall,avgt,1,5,70387.38626,6059.588356,ns/op,,,1.0,,100.0
76,yieldBeforeAndAfterEachCall,avgt,1,5,3611.8914159999995,21.444755999999998,ns/op,,,2.0,,5.0
77,yieldBeforeAndAfterEachCall,avgt,1,5,7163.409127,97.063009,ns/op,,,2.0,,10.0
78,yieldBeforeAndAfterEachCall,avgt,1,5,14110.89493,141.402392,ns/op,,,2.0,,20.0
79,yieldBeforeAndAfterEachCall,avgt,1,5,71859.63783200001,1224.6593460000001,ns/op,,,2.0,,100.0
80,yieldBeforeAndAfterEachCall,avgt,1,5,3707.596937,63.68034399999999,ns/op,,,3.0,,5.0
81,yieldBeforeAndAfterEachCall,avgt,1,5,7208.202837999999,43.952239,ns/op,,,3.0,,10.0
82,yieldBeforeAndAfterEachCall,avgt,1,5,14381.267491999999,192.600709,ns/op,,,3.0,,20.0
83,yieldBeforeAndAfterEachCall,avgt,1,5,72809.64213,6064.654667,ns/op,,,3.0,,100.0
84,yieldBeforeEachCall,avgt,1,5,2048.500464,8.418085000000001,ns/op,,,1.0,,5.0
85,yieldBeforeEachCall,avgt,1,5,3979.40074,103.877189,ns/op,,,1.0,,10.0
86,yieldBeforeEachCall,avgt,1,5,7929.634303,47.845195000000004,ns/op,,,1.0,,20.0
87,yieldBeforeEachCall,avgt,1,5,39925.658300999996,432.873772,ns/op,,,1.0,,100.0
88,yieldBeforeEachCall,avgt,1,5,2083.022059,184.367372,ns/op,,,2.0,,5.0
89,yieldBeforeEachCall,avgt,1,5,4143.449619,36.7277,ns/op,,,2.0,,10.0
90,yieldBeforeEachCall,avgt,1,5,8474.876154000001,651.406626,ns/op,,,2.0,,20.0
91,yieldBeforeEachCall,avgt,1,5,39546.08264,202.03798899999998,ns/op,,,2.0,,100.0
92,yieldBeforeEachCall,avgt,1,5,2097.7628219999997,10.245474,ns/op,,,3.0,,5.0
93,yieldBeforeEachCall,avgt,1,5,4156.005958,42.990120000000005,ns/op,,,3.0,,10.0
94,yieldBeforeEachCall,avgt,1,5,8467.318375,691.6756320000001,ns/op,,,3.0,,20.0
95,yieldBeforeEachCall,avgt,1,5,39870.278357,202.274319,ns/op,,,3.0,,100.0
96,yieldThenContinue,avgt,1,5,1116.8777300000002,6.9267970000000005,ns/op,,,1.0,,5.0
97,yieldThenContinue,avgt,1,5,1533.486449,13.459591,ns/op,,,1.0,,10.0
98,yieldThenContinue,avgt,1,5,2070.7528039999997,28.018454,ns/op,,,1.0,,20.0
99,yieldThenContinue,avgt,1,5,6942.271984,91.934285,ns/op,,,1.0,,100.0
100,yieldThenContinue,avgt,1,5,1184.090516,447.13651600000003,ns/op,,,2.0,,5.0
101,yieldThenContinue,avgt,1,5,1595.788245,529.019036,ns/op,,,2.0,,10.0
102,yieldThenContinue,avgt,1,5,2148.103006,20.010912,ns/op,,,2.0,,20.0
103,yieldThenContinue,avgt,1,5,7463.84858,425.346004,ns/op,,,2.0,,100.0
104,yieldThenContinue,avgt,1,5,1233.713376,497.366079,ns/op,,,3.0,,5.0
105,yieldThenContinue,avgt,1,5,1662.6748400000001,555.071413,ns/op,,,3.0,,10.0
106,yieldThenContinue,avgt,1,5,2289.740133,38.908640000000005,ns/op,,,3.0,,20.0
107,yieldThenContinue,avgt,1,5,8552.567836,1495.850641,ns/op,,,3.0,,100.0
